train_loss,epoch,step,val_loss,val_accuracy,test_loss,test_accuracy
1.6714400053024292,0,0,,,,
,0,0,1.8174099922180176,0.23999999463558197,,
1.6591130495071411,1,1,,,,
,1,1,1.8018814325332642,0.23999999463558197,,
1.6469597816467285,2,2,,,,
,2,2,1.7865718603134155,0.23999999463558197,,
1.6349823474884033,3,3,,,,
,3,3,1.7714847326278687,0.23999999463558197,,
1.6231802701950073,4,4,,,,
,4,4,1.7566217184066772,0.23999999463558197,,
1.6115548610687256,5,5,,,,
,5,5,1.7419856786727905,0.23999999463558197,,
1.6001067161560059,6,6,,,,
,6,6,1.7275784015655518,0.23999999463558197,,
1.5888357162475586,7,7,,,,
,7,7,1.713402509689331,0.25,,
1.5777418613433838,8,8,,,,
,8,8,1.6994596719741821,0.25,,
1.566825270652771,9,9,,,,
,9,9,1.6857507228851318,0.25,,
1.5560851097106934,10,10,,,,
,10,10,1.6722776889801025,0.25,,
1.5455209016799927,11,11,,,,
,11,11,1.659041404724121,0.25,,
1.5351316928863525,12,12,,,,
,12,12,1.6460423469543457,0.25999999046325684,,
1.5249160528182983,13,13,,,,
,13,13,1.6332811117172241,0.25,,
1.5148731470108032,14,14,,,,
,14,14,1.6207585334777832,0.25,,
1.505001187324524,15,15,,,,
,15,15,1.6084741353988647,0.25,,
1.4952982664108276,16,16,,,,
,16,16,1.5964274406433105,0.25,,
1.485762596130371,17,17,,,,
,17,17,1.584618091583252,0.25,,
1.4763919115066528,18,18,,,,
,18,18,1.573045015335083,0.25999999046325684,,
1.4671838283538818,19,19,,,,
,19,19,1.5617069005966187,0.25999999046325684,,
1.458135962486267,20,20,,,,
,20,20,1.5506023168563843,0.25999999046325684,,
1.4492459297180176,21,21,,,,
,21,21,1.5397294759750366,0.25999999046325684,,
1.4405109882354736,22,22,,,,
,22,22,1.5290859937667847,0.25999999046325684,,
1.4319279193878174,23,23,,,,
,23,23,1.518669605255127,0.25999999046325684,,
1.4234942197799683,24,24,,,,
,24,24,1.5084774494171143,0.25999999046325684,,
1.4152072668075562,25,25,,,,
,25,25,1.4985066652297974,0.25999999046325684,,
1.4070632457733154,26,26,,,,
,26,26,1.4887535572052002,0.25999999046325684,,
1.3990598917007446,27,27,,,,
,27,27,1.4792149066925049,0.25999999046325684,,
1.3911943435668945,28,28,,,,
,28,28,1.4698867797851562,0.25999999046325684,,
