train_loss,epoch,step,val_loss,val_accuracy,test_loss,test_accuracy
1.2886476516723633,0,0,,,,
,0,0,1.2370712757110596,0.1599999964237213,,
1.2829574346542358,1,1,,,,
,1,1,1.233612298965454,0.1599999964237213,,
1.2772794961929321,2,2,,,,
,2,2,1.23017418384552,0.1599999964237213,,
1.271586298942566,3,3,,,,
,3,3,1.2267221212387085,0.1599999964237213,,
1.2658932209014893,4,4,,,,
,4,4,1.2232816219329834,0.1599999964237213,,
1.2601969242095947,5,5,,,,
,5,5,1.2198491096496582,0.1599999964237213,,
1.2546894550323486,6,6,,,,
,6,6,1.2164967060089111,0.1599999964237213,,
1.249056339263916,7,7,,,,
,7,7,1.213009238243103,0.1599999964237213,,
1.2434420585632324,8,8,,,,
,8,8,1.2095836400985718,0.1599999964237213,,
1.2378500699996948,9,9,,,,
,9,9,1.2061667442321777,0.1599999964237213,,
1.2322838306427002,10,10,,,,
,10,10,1.2026878595352173,0.1599999964237213,,
1.2267427444458008,11,11,,,,
,11,11,1.1991848945617676,0.1599999964237213,,
1.221229076385498,12,12,,,,
,12,12,1.19566011428833,0.1599999964237213,,
1.2157443761825562,13,13,,,,
,13,13,1.1921188831329346,0.15000000596046448,,
1.2102903127670288,14,14,,,,
,14,14,1.1885641813278198,0.15000000596046448,,
1.2048695087432861,15,15,,,,
,15,15,1.1849974393844604,0.14000000059604645,,
1.199485421180725,16,16,,,,
,16,16,1.1814168691635132,0.12999999523162842,,
1.1941378116607666,17,17,,,,
,17,17,1.177810788154602,0.12999999523162842,,
1.188827633857727,18,18,,,,
,18,18,1.1742128133773804,0.12999999523162842,,
1.1835541725158691,19,19,,,,
,19,19,1.1705958843231201,0.12999999523162842,,
1.1783174276351929,20,20,,,,
,20,20,1.1669682264328003,0.12999999523162842,,
1.1731208562850952,21,21,,,,
,21,21,1.1633272171020508,0.12999999523162842,,
1.167965292930603,22,22,,,,
,22,22,1.1596732139587402,0.10999999940395355,,
1.1628559827804565,23,23,,,,
,23,23,1.1560094356536865,0.10000000149011612,,
1.157793402671814,24,24,,,,
,24,24,1.1523290872573853,0.10000000149011612,,
1.1527771949768066,25,25,,,,
,25,25,1.1486302614212036,0.10000000149011612,,
1.1477274894714355,26,26,,,,
,26,26,1.1449191570281982,0.10000000149011612,,
1.1427925825119019,27,27,,,,
,27,27,1.1411957740783691,0.09000000357627869,,
1.1379027366638184,28,28,,,,
,28,28,1.1374601125717163,0.09000000357627869,,
1.133056402206421,29,29,,,,
,29,29,1.1337125301361084,0.09000000357627869,,
1.1282516717910767,30,30,,,,
,30,30,1.1299529075622559,0.10000000149011612,,
1.1234859228134155,31,31,,,,
,31,31,1.1261794567108154,0.09000000357627869,,
1.118754506111145,32,32,,,,
,32,32,1.1223870515823364,0.09000000357627869,,
1.1140509843826294,33,33,,,,
,33,33,1.1185697317123413,0.09000000357627869,,
1.109369158744812,34,34,,,,
,34,34,1.114766240119934,0.09000000357627869,,
1.104752540588379,35,35,,,,
,35,35,1.1108577251434326,0.09000000357627869,,
1.1000773906707764,36,36,,,,
,36,36,1.1068923473358154,0.09000000357627869,,
1.0953967571258545,37,37,,,,
,37,37,1.1028531789779663,0.09000000357627869,,
1.0906982421875,38,38,,,,
,38,38,1.0987210273742676,0.07999999821186066,,
1.0859650373458862,39,39,,,,
,39,39,1.0944710969924927,0.07999999821186066,,
1.0811760425567627,40,40,,,,
,40,40,1.0900746583938599,0.07999999821186066,,
1.0763068199157715,41,41,,,,
,41,41,1.0855005979537964,0.07000000029802322,,
1.0713294744491577,42,42,,,,
,42,42,1.0807183980941772,0.07000000029802322,,
1.0662156343460083,43,43,,,,
,43,43,1.075701117515564,0.07000000029802322,,
1.0609363317489624,44,44,,,,
,44,44,1.0704442262649536,0.05999999865889549,,
1.0554659366607666,45,45,,,,
,45,45,1.0649046897888184,0.05000000074505806,,
1.049811601638794,46,46,,,,
,46,46,1.0590952634811401,0.03999999910593033,,
1.0438908338546753,47,47,,,,
,47,47,1.0530283451080322,0.03999999910593033,,
1.0377446413040161,48,48,,,,
,48,48,1.0467203855514526,0.029999999329447746,,
1.0313720703125,49,49,,,,
,49,49,1.0401808023452759,0.029999999329447746,,
1.0247771739959717,50,50,,,,
,50,50,1.0334081649780273,0.029999999329447746,,
1.0179662704467773,51,51,,,,
,51,51,1.0263895988464355,0.03999999910593033,,
1.010951042175293,52,52,,,,
,52,52,1.0191410779953003,0.03999999910593033,,
1.0037487745285034,53,53,,,,
,53,53,1.011659026145935,0.029999999329447746,,
0.9963787198066711,54,54,,,,
,54,54,1.003936767578125,0.029999999329447746,,
0.9888606071472168,55,55,,,,
,55,55,0.9960556030273438,0.029999999329447746,,
0.981209933757782,56,56,,,,
,56,56,0.988044261932373,0.03999999910593033,,
0.9734335541725159,57,57,,,,
,57,57,0.9798967838287354,0.05000000074505806,,
0.9655398726463318,58,58,,,,
,58,58,0.9716353416442871,0.05000000074505806,,
0.9575380682945251,59,59,,,,
,59,59,0.9632717967033386,0.05000000074505806,,
0.9494251012802124,60,60,,,,
,60,60,0.9547871351242065,0.05000000074505806,,
0.941200315952301,61,61,,,,
,61,61,0.9461601376533508,0.05000000074505806,,
0.9328683614730835,62,62,,,,
,62,62,0.9373962879180908,0.05000000074505806,,
0.9244199991226196,63,63,,,,
,63,63,0.9284905195236206,0.05000000074505806,,
0.9158499836921692,64,64,,,,
,64,64,0.919446587562561,0.05000000074505806,,
0.9071612358093262,65,65,,,,
,65,65,0.9102606177330017,0.05999999865889549,,
0.8983458876609802,66,66,,,,
,66,66,0.9009129405021667,0.05000000074505806,,
0.8892484903335571,67,67,,,,
,67,67,0.891405463218689,0.05000000074505806,,
0.8800825476646423,68,68,,,,
,68,68,0.8817171454429626,0.05999999865889549,,
0.8707625865936279,69,69,,,,
,69,69,0.8718889355659485,0.05999999865889549,,
0.8613074421882629,70,70,,,,
,70,70,0.8619806170463562,0.05999999865889549,,
0.8517376780509949,71,71,,,,
,71,71,0.8519158959388733,0.07000000029802322,,
0.8420710563659668,72,72,,,,
,72,72,0.8418887257575989,0.07999999821186066,,
0.8323299288749695,73,73,,,,
,73,73,0.8318445682525635,0.09000000357627869,,
0.8225429058074951,74,74,,,,
,74,74,0.8218154907226562,0.09000000357627869,,
0.812747597694397,75,75,,,,
,75,75,0.8118293285369873,0.09000000357627869,,
0.8029880523681641,76,76,,,,
,76,76,0.8019102215766907,0.09000000357627869,,
0.7932738661766052,77,77,,,,
,77,77,0.7920807003974915,0.14000000059604645,,
0.7837033271789551,78,78,,,,
,78,78,0.7823659777641296,0.14000000059604645,,
0.7742877006530762,79,79,,,,
,79,79,0.772765040397644,0.14000000059604645,,
0.7650619745254517,80,80,,,,
,80,80,0.763375461101532,0.15000000596046448,,
0.756059467792511,81,81,,,,
,81,81,0.7542030811309814,0.18000000715255737,,
0.747347354888916,82,82,,,,
,82,82,0.7452877759933472,0.20999999344348907,,
0.7388803362846375,83,83,,,,
,83,83,0.7367010712623596,0.25,,
0.7307401299476624,84,84,,,,
,84,84,0.7284518480300903,0.30000001192092896,,
0.7229655385017395,85,85,,,,
,85,85,0.7206175923347473,0.3199999928474426,,
0.7155941128730774,86,86,,,,
,86,86,0.7132575511932373,0.3700000047683716,,
0.7086660265922546,87,87,,,,
,87,87,0.7064310312271118,0.46000000834465027,,
0.7022222280502319,88,88,,,,
,88,88,0.7001347541809082,0.5299999713897705,,
0.6962972283363342,89,89,,,,
,89,89,0.6945087313652039,0.550000011920929,,
0.6909146308898926,90,90,,,,
,90,90,0.6894900798797607,0.5699999928474426,,
0.6860866546630859,91,91,,,,
,91,91,0.6850742101669312,0.5699999928474426,,
0.6817851066589355,92,92,,,,
,92,92,0.6812199950218201,0.5899999737739563,,
0.6779844760894775,93,93,,,,
,93,93,0.6778730750083923,0.5799999833106995,,
0.6746044754981995,94,94,,,,
,94,94,0.6749472618103027,0.550000011920929,,
0.6716000437736511,95,95,,,,
,95,95,0.6724150776863098,0.5199999809265137,,
0.6689145565032959,96,96,,,,
,96,96,0.6702014207839966,0.49000000953674316,,
0.6665009260177612,97,97,,,,
,97,97,0.6682548522949219,0.4699999988079071,,
0.6643193960189819,98,98,,,,
,98,98,0.6665527820587158,0.46000000834465027,,
0.6623110175132751,99,99,,,,
,99,99,0.6650497913360596,0.46000000834465027,,
0.6604951620101929,100,100,,,,
,100,100,0.6637136340141296,0.47999998927116394,,
0.6588175296783447,101,101,,,,
,101,101,0.662513792514801,0.5,,
0.6572518348693848,102,102,,,,
,102,102,0.6614202857017517,0.5299999713897705,,
0.6557723879814148,103,103,,,,
,103,103,0.6604034304618835,0.5799999833106995,,
0.6543551087379456,104,104,,,,
,104,104,0.6594352126121521,0.6100000143051147,,
0.6529771685600281,105,105,,,,
,105,105,0.6584886908531189,0.6299999952316284,,
0.6516156792640686,106,106,,,,
,106,106,0.6575391292572021,0.6499999761581421,,
0.6502496600151062,107,107,,,,
,107,107,0.6565654277801514,0.6800000071525574,,
0.6488587260246277,108,108,,,,
,108,108,0.6555492877960205,0.6800000071525574,,
0.6474298238754272,109,109,,,,
,109,109,0.6544772982597351,0.6700000166893005,,
0.645954430103302,110,110,,,,
,110,110,0.6533409953117371,0.6700000166893005,,
0.644426703453064,111,111,,,,
,111,111,0.6521359086036682,0.6700000166893005,,
0.6428446173667908,112,112,,,,
,112,112,0.6508627533912659,0.6700000166893005,,
0.6412100195884705,113,113,,,,
,113,113,0.6495250463485718,0.6700000166893005,,
0.6395272016525269,114,114,,,,
,114,114,0.648130476474762,0.6700000166893005,,
0.6378036737442017,115,115,,,,
,115,115,0.6466540694236755,0.6700000166893005,,
0.6360476016998291,116,116,,,,
,116,116,0.645171046257019,0.6700000166893005,,
0.6342685222625732,117,117,,,,
,117,117,0.6436623930931091,0.6700000166893005,,
0.6325201392173767,118,118,,,,
,118,118,0.6421399116516113,0.6700000166893005,,
0.6307270526885986,119,119,,,,
,119,119,0.6406130194664001,0.6700000166893005,,
0.6289358735084534,120,120,,,,
,120,120,0.6390902996063232,0.6700000166893005,,
0.6271522641181946,121,121,,,,
,121,121,0.6375779509544373,0.6700000166893005,,
0.6253806948661804,122,122,,,,
,122,122,0.6360801458358765,0.6700000166893005,,
0.6236233711242676,123,123,,,,
,123,123,0.6345996856689453,0.6700000166893005,,
0.6218817234039307,124,124,,,,
,124,124,0.6331376433372498,0.6800000071525574,,
0.6201556921005249,125,125,,,,
,125,125,0.6316941976547241,0.6800000071525574,,
0.6184447407722473,126,126,,,,
,126,126,0.6302685737609863,0.6800000071525574,,
0.6167476773262024,127,127,,,,
,127,127,0.6288595199584961,0.6800000071525574,,
0.615062952041626,128,128,,,,
,128,128,0.6274653673171997,0.6800000071525574,,
0.6133886575698853,129,129,,,,
,129,129,0.6260841488838196,0.6800000071525574,,
0.6117231249809265,130,130,,,,
,130,130,0.624714195728302,0.6700000166893005,,
0.6100649833679199,131,131,,,,
,131,131,0.6234330534934998,0.6700000166893005,,
0.6084131002426147,132,132,,,,
,132,132,0.6220762729644775,0.6700000166893005,,
0.6067671775817871,133,133,,,,
,133,133,0.620727002620697,0.6499999761581421,,
0.6051267385482788,134,134,,,,
,134,134,0.6193244457244873,0.6499999761581421,,
0.6034925580024719,135,135,,,,
,135,135,0.6179929971694946,0.6499999761581421,,
0.6018651723861694,136,136,,,,
,136,136,0.616669237613678,0.6499999761581421,,
0.6002457141876221,137,137,,,,
,137,137,0.6153536438941956,0.6399999856948853,,
0.5986360311508179,138,138,,,,
,138,138,0.6140468716621399,0.6399999856948853,,
0.5970374941825867,139,139,,,,
,139,139,0.6127495765686035,0.6399999856948853,,
0.5954519510269165,140,140,,,,
,140,140,0.6114624738693237,0.6399999856948853,,
0.593880832195282,141,141,,,,
,141,141,0.6101858615875244,0.6399999856948853,,
0.5923254489898682,142,142,,,,
,142,142,0.6089193224906921,0.6299999952316284,,
0.5907866954803467,143,143,,,,
,143,143,0.607661783695221,0.6299999952316284,,
0.5892645716667175,144,144,,,,
,144,144,0.6064116358757019,0.6299999952316284,,
0.5877584218978882,145,145,,,,
,145,145,0.6051663756370544,0.6399999856948853,,
0.5862667560577393,146,146,,,,
,146,146,0.6039230227470398,0.6499999761581421,,
0.5847874879837036,147,147,,,,
,147,147,0.6026778221130371,0.6499999761581421,,
0.5833176970481873,148,148,,,,
,148,148,0.6014272570610046,0.6499999761581421,,
0.581854522228241,149,149,,,,
,149,149,0.6001676321029663,0.6499999761581421,,
0.5803945064544678,150,150,,,,
,150,150,0.5988960862159729,0.6499999761581421,,
0.5789351463317871,151,151,,,,
,151,151,0.5976107716560364,0.6499999761581421,,
0.5774738788604736,152,152,,,,
,152,152,0.5963107943534851,0.6499999761581421,,
0.5760091543197632,153,153,,,,
,153,153,0.5949962139129639,0.6399999856948853,,
0.5745403170585632,154,154,,,,
,154,154,0.5936687588691711,0.6399999856948853,,
0.573067307472229,155,155,,,,
,155,155,0.5923305749893188,0.6399999856948853,,
0.5715907216072083,156,156,,,,
,156,156,0.590984582901001,0.6399999856948853,,
0.5701117515563965,157,157,,,,
,157,157,0.589634120464325,0.6399999856948853,,
0.5686317682266235,158,158,,,,
,158,158,0.5882599353790283,0.6399999856948853,,
0.5671523213386536,159,159,,,,
,159,159,0.5869062542915344,0.6399999856948853,,
0.5656745433807373,160,160,,,,
,160,160,0.5855565071105957,0.6499999761581421,,
0.5641996264457703,161,161,,,,
,161,161,0.5842130184173584,0.6299999952316284,,
0.562728226184845,162,162,,,,
,162,162,0.5828774571418762,0.6299999952316284,,
0.561260998249054,163,163,,,,
,163,163,0.581551194190979,0.6399999856948853,,
0.5597978830337524,164,164,,,,
,164,164,0.5802348256111145,0.6399999856948853,,
0.5583390593528748,165,165,,,,
,165,165,0.5789287686347961,0.6499999761581421,,
0.5568844676017761,166,166,,,,
,166,166,0.5776332020759583,0.6600000262260437,,
0.5554338097572327,167,167,,,,
,167,167,0.5763481855392456,0.6700000166893005,,
0.5539872646331787,168,168,,,,
,168,168,0.5750734210014343,0.6700000166893005,,
0.5525446534156799,169,169,,,,
,169,169,0.5738089680671692,0.6700000166893005,,
0.5511061549186707,170,170,,,,
,170,170,0.5725544095039368,0.6700000166893005,,
0.5496720671653748,171,171,,,,
,171,171,0.5713095664978027,0.6700000166893005,,
0.5482427477836609,172,172,,,,
,172,172,0.5700741410255432,0.6700000166893005,,
0.5468187928199768,173,173,,,,
,173,173,0.56886887550354,0.6700000166893005,,
0.5454005599021912,174,174,,,,
,174,174,0.5676513910293579,0.6700000166893005,,
0.5439885854721069,175,175,,,,
,175,175,0.5664420127868652,0.6700000166893005,,
0.5425835251808167,176,176,,,,
,176,176,0.5652261972427368,0.6700000166893005,,
0.5411857962608337,177,177,,,,
,177,177,0.5640302896499634,0.6600000262260437,,
0.5397956967353821,178,178,,,,
,178,178,0.5628415942192078,0.6600000262260437,,
0.5384137034416199,179,179,,,,
,179,179,0.5616596937179565,0.6600000262260437,,
0.5370402336120605,180,180,,,,
,180,180,0.5604842305183411,0.6700000166893005,,
0.5356752872467041,181,181,,,,
,181,181,0.5593149065971375,0.6700000166893005,,
0.5343194007873535,182,182,,,,
,182,182,0.558151364326477,0.6700000166893005,,
0.5329728126525879,183,183,,,,
,183,183,0.5569936633110046,0.6700000166893005,,
0.5316357612609863,184,184,,,,
,184,184,0.5558421611785889,0.6700000166893005,,
0.5303086638450623,185,185,,,,
,185,185,0.5546970367431641,0.6700000166893005,,
0.52899169921875,186,186,,,,
,186,186,0.5535593628883362,0.6700000166893005,,
0.5276853442192078,187,187,,,,
,187,187,0.5524294376373291,0.6700000166893005,,
0.5263899564743042,188,188,,,,
,188,188,0.551307737827301,0.6700000166893005,,
0.5251055955886841,189,189,,,,
,189,189,0.5501946806907654,0.6700000166893005,,
0.5238326787948608,190,190,,,,
,190,190,0.5490909218788147,0.6700000166893005,,
0.5225714445114136,191,191,,,,
,191,191,0.5479965806007385,0.6700000166893005,,
0.5213220715522766,192,192,,,,
,192,192,0.5469117164611816,0.6700000166893005,,
0.5200847387313843,193,193,,,,
,193,193,0.545836865901947,0.6700000166893005,,
0.5188596248626709,194,194,,,,
,194,194,0.5447726249694824,0.6700000166893005,,
0.5176470279693604,195,195,,,,
,195,195,0.5437192320823669,0.6700000166893005,,
0.5164468884468079,196,196,,,,
,196,196,0.5426772832870483,0.6700000166893005,,
0.5152596235275269,197,197,,,,
,197,197,0.5416472554206848,0.6700000166893005,,
0.5140851736068726,198,198,,,,
,198,198,0.5406294465065002,0.6600000262260437,,
0.5129238963127136,199,199,,,,
,199,199,0.5396242737770081,0.6600000262260437,,
,200,200,0.4716397225856781,0.7699999809265137,,
,200,200,,,0.5006336569786072,0.699999988079071
