train_loss,epoch,step,val_loss,val_accuracy,test_loss,test_accuracy
1.2151176929473877,0,0,,,,
,0,0,1.2170538902282715,0.23999999463558197,,
1.2058510780334473,1,1,,,,
,1,1,1.2073639631271362,0.25,,
1.1967447996139526,2,2,,,,
,2,2,1.1978284120559692,0.25,,
1.1877944469451904,3,3,,,,
,3,3,1.1884279251098633,0.25,,
1.1789803504943848,4,4,,,,
,4,4,1.1791422367095947,0.25,,
1.1702806949615479,5,5,,,,
,5,5,1.1699607372283936,0.25,,
1.1616826057434082,6,6,,,,
,6,6,1.16087806224823,0.23999999463558197,,
1.1531789302825928,7,7,,,,
,7,7,1.1518890857696533,0.23999999463558197,,
1.1447632312774658,8,8,,,,
,8,8,1.1429874897003174,0.25,,
1.1364275217056274,9,9,,,,
,9,9,1.1341670751571655,0.25,,
1.1281636953353882,10,10,,,,
,10,10,1.125422716140747,0.25,,
1.1199651956558228,11,11,,,,
,11,11,1.1167521476745605,0.25999999046325684,,
1.1118277311325073,12,12,,,,
,12,12,1.1081544160842896,0.25999999046325684,,
1.10374915599823,13,13,,,,
,13,13,1.0996308326721191,0.25999999046325684,,
1.0957287549972534,14,14,,,,
,14,14,1.0911836624145508,0.25999999046325684,,
1.087766408920288,15,15,,,,
,15,15,1.0828146934509277,0.25999999046325684,,
1.0798618793487549,16,16,,,,
,16,16,1.0745257139205933,0.25999999046325684,,
1.072015404701233,17,17,,,,
,17,17,1.0663187503814697,0.25999999046325684,,
1.0642260313034058,18,18,,,,
,18,18,1.058194637298584,0.25999999046325684,,
1.0564926862716675,19,19,,,,
,19,19,1.050154209136963,0.25,,
1.0488146543502808,20,20,,,,
,20,20,1.0421983003616333,0.25,,
1.0411909818649292,21,21,,,,
,21,21,1.0343272686004639,0.25,,
1.0336213111877441,22,22,,,,
,22,22,1.0265419483184814,0.25,,
1.0261059999465942,23,23,,,,
,23,23,1.018843650817871,0.23999999463558197,,
1.0186458826065063,24,24,,,,
,24,24,1.0112334489822388,0.23999999463558197,,
1.011243462562561,25,25,,,,
